Jadammina.macrescens,Miliammina.fusca,Tiphotrocha.comprimata,Trochammina.ochracea,Haplophragmoides.spp.,Elphidium.williamsoni,Elphidium.spp.,Ammonia.spp.,Haynesina.germanica,Brizalina.variabilis,Quinqueloculina.spp.,Buliminella.elegantissima,Lagena.sulcata,Reophax.scottii,Globulina.sp.,Total.dead,Sample no,Depth (od),loi,Thickness
0.7,3.6,0,0.8,0,13.9,0,2.7,59.4,3.6,1.3,13.3,0.3,0.3,0,1206,228,-28.8,4.59,1
0.8,0,0,1.2,0,14.9,0,1.4,57,4.4,2.9,15.4,1.1,0.5,0,840,238,-38.8,4.37,1
50,1.6,0,18.8,0,4.7,0,0,25,0,0,0,0,0,0,64,244,-44.8,4.94,1
3.3,0.5,0,2.9,0,41.7,0,1.4,42.9,0,0.4,2,0,0,0,265,252,-52.8,6.03,1
76.2,7.1,0,14.3,0,0,0,0,0,2.4,0,0,0,0,0,42,260,-60.8,4.13,1
1.9,4.7,0,4.5,0,11.9,0,2.6,58.9,0,1.6,14,0,0,0,258,268,-68.8,4.81,1
3,0,0,9.9,0,11.6,0,0,39.9,1.7,0,33.9,0,0,0,233,276,-76.8,4.2,1
1.5,0,0,1.1,0,4.5,0,1.8,32.9,11.4,4.5,41,1.3,0,0,914,284,-84.8,4.64,1
0.9,0,0,0.8,0,0,0,0,39.9,7.2,6.3,44.7,0.2,0,0,1134,300,-100.8,5.1,1
1.4,0,0,1.7,0,4.7,0,5.9,38,16.6,2,28.5,1.2,0,0,1011,324,-124.8,4.83,1
0,0,0,0,0,4.3,3.6,5.5,49.3,6.7,3.1,20.6,0.5,5.7,0.7,1664,340,-140.8,3.67,1
3.9,0.9,0,0.9,0,9.9,15.8,9,51.6,2.9,5.2,0,0,0,0,1396,356,-156.8,4.01,1
63.5,5.8,0.3,0.6,0,1,1.9,26.9,0,0,0,0,0,0,0,1045,364,-164.8,6.53,1
92.4,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,118,372,-172.8,6.39,1
62.1,34.3,0,1.4,2.1,0,0,0,0,0,0,0,0,0,0,140,380,-180.8,6.17,1
66.7,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,8,404,-204.8,5.98,1
93.8,2.5,0,0,3.7,0,0,0,0,0,0,0,0,0,0,81,420,-220.8,7.15,1
94.7,1.3,0,3.9,0,0,0,0,0,0,0,0,0,0,0,76,436,-236.8,7.54,1
7.7,73.1,0,19.2,0,0,0,0,0,0,0,0,0,0,0,26,444,-244.8,7.35,1
5.9,88.2,0,5.9,0,0,0,0,0,0,0,0,0,0,0,51,460,-260.8,11.06,1
16.7,75,0,8.3,0,0,0,0,0,0,0,0,0,0,0,12,484,-284.8,7.38,1
1.5,97,0,1.5,0,0,0,0,0,0,0,0,0,0,0,134,492,-292.8,8.79,1
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,-297.8,na,1
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,-302.8,na,1
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,-314.8,na,1
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,-317.8,na,1
