"","Jadammina.macrescens","Miliammina.fusca","Trochammina.ochracea","Elphidium.williamsoni","Elphidium.spp","Ammonia.spp.","Brizalina.variabilis","Quinqueloculina.spp.","Bulimina.elegantissima","Sample.no","Depth..od.","Total.dead","Thickness","wa.w.rsl","wa.w.SSE.m","wa.w.sl.swli","wa.w.sl.m","wa.w.SSE.swli","wapls.w.rsl","wapls.w.SSE.m","wapls.w.sl.swli","wapls.w.sl.m","wapls.w.SSE.swli","wa.w-30-rsl","wa.w-30-SSE-m","wa.w-30-sl-swli","wa.w-30-sl-m","wa.w-30-SSE-swli","mat$mat"
"1",42,58,0,0,0,0,0,0,0,214,-0.11,266,1,-1.87,0.34,195.18,1.87,22.54,-1.74,0.3,187.03,1.74,18.04,-1.49,0.25,172.12,1.49,15.31,"good"
"2",82,0,2,14,29,0,0,1,0,226,-12.11,194,1,-1.9,0.33,189.56,1.78,22.35,-1.69,0.29,176.8,1.57,17.41,-1.71,0.2,178.19,1.59,11.91,"poor"
"4",0,0,8,56,111,2,12,2,21,298,-84.11,3160,1,-1.55,0.34,124.77,0.71,22.76,-1.69,0.31,133.3,0.85,18.54,-1.79,0.3,139.11,0.95,18.08,"poor"
"6",95,0,0,0,0,0,0,5,0,338,-124.11,466,1,-3.08,0.33,193.43,1.84,22.42,-2.93,0.29,184.44,1.69,17.41,-2.87,0.2,180.29,1.62,12.34,"good"
"7",100,0,0,0,0,0,0,0,0,378,-164.11,60,1,-3.49,0.33,193.94,1.85,22.44,-3.34,0.29,184.83,1.7,17.44,-3.26,0.2,179.98,1.62,12.39,"good"
"8",99,0,1,0,0,0,0,0,0,418,-204.11,206,1,-3.88,0.33,193.49,1.84,22.43,-3.72,0.29,183.56,1.68,17.45,-3.65,0.21,179.5,1.61,12.44,"good"
"10",10,0,52,2,5,21,0,7,7,450,-236.11,84,1,-3.14,0.39,128.95,0.78,24.55,-2.74,0.41,104.6,0.38,25.09,-2.95,0.44,117.77,0.59,26.87,"poor"
"15",6,83,11,0,0,0,0,0,0,485,-271.11,94,1,-4.49,0.35,189.45,1.78,22.77,-4.23,0.32,173.99,1.52,19.11,-4.18,0.27,171.09,1.47,16.32,"close"
"18",28,53,19,0,0,0,0,0,0,492,-278.11,86,1,-4.47,0.35,184.21,1.69,22.72,-4.12,0.31,162.68,1.33,18.88,-4.21,0.27,168.39,1.43,16.19,"close"
"20",8,83,8,1,2,0,0,0,0,494,-280.11,174,1,-4.6,0.34,191,1.8,22.73,-4.38,0.31,177.43,1.58,18.97,-4.26,0.26,169.95,1.45,15.87,"close"
"21",8,83,8,1,2,0,0,0,0,494,-281.11,398,1,-4.61,0.34,191,1.8,22.73,-4.39,0.31,177.43,1.58,18.97,-4.27,0.26,169.95,1.45,15.91,"close"
"22",8,83,8,1,2,0,0,0,0,494,-282.11,196,1,-4.62,0.34,191,1.8,22.73,-4.4,0.31,177.43,1.58,18.97,-4.28,0.27,169.95,1.45,16.39,"close"
"23",8,83,8,1,2,0,0,0,0,494,-283.11,96,1,-4.63,0.34,191,1.8,22.73,-4.41,0.31,177.43,1.58,18.97,-4.29,0.26,169.95,1.45,15.76,"close"
"24",8,83,8,1,2,0,0,0,0,494,-284.11,72,1,-4.64,0.34,191,1.8,22.73,-4.42,0.31,177.43,1.58,18.97,-4.3,0.26,169.95,1.45,16,"close"
